MESSAGE TYPE,SYMBOL,TIME,ASK QUOTE FLAG,BID QUOTE FLAG,BEST ASK,BEST BID
QUOTE,9101,7:00,1,1,3320.0,3320.0
QUOTE,9101,7:00,3,3,4000.0,40000.0
